query_no,query,cardinality_predict,cardinality_true,latency_ms
0,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info mi,movie_info_idx mi_idx where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.kind_id = 1 and t.production_year < 2012 and mc.company_id > 7851 and mi.info_type_id > 16 and mi_idx.info_type_id = 101;",863460244.9274697,994094709,2.896062098443508
1,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info_idx mi_idx,movie_keyword mk where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi_idx.movie_id and t.id = mk.movie_id and t.kind_id < 7 and t.production_year > 1936 and ci.person_id > 1487650 and ci.role_id < 8 and mk.keyword_id = 16264;",5035097.537011682,539979,3.7958798930048943
2,"SELECT COUNT(*) from title t,movie_companies mc,movie_info mi,movie_info_idx mi_idx,movie_keyword mk where t.id = mc.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.id = mk.movie_id and mc.company_id < 5569 and mc.company_type_id = 1 and mi.info_type_id > 1 and mi_idx.info_type_id = 99 and mk.keyword_id < 10833;",587956052.6775798,1360323800,2.6013944298028946
3,"SELECT COUNT(*) from title t,movie_companies mc,movie_info mi,movie_info_idx mi_idx,movie_keyword mk where t.id = mc.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.id = mk.movie_id and mc.company_id > 11203 and mc.company_type_id = 2 and mi.info_type_id = 8 and mi_idx.info_type_id = 101 and mk.keyword_id = 52288;",68.58771800699253,24,2.179142087697983
4,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info_idx mi_idx,movie_keyword mk where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi_idx.movie_id and t.id = mk.movie_id and t.kind_id > 1 and mc.company_type_id = 2 and ci.person_id > 990535 and ci.role_id = 2 and mi_idx.info_type_id = 101;",12124268.120809395,10919218,3.5549160093069077
5,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info mi,movie_info_idx mi_idx where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.kind_id < 7 and t.production_year > 2010 and ci.person_id < 614751 and mi.info_type_id < 16 and mi_idx.info_type_id < 100;",90100656.90145473,30826466,3.313276916742325
6,"SELECT COUNT(*) from title t,movie_companies mc,cast_info ci,movie_info mi,movie_info_idx mi_idx where t.id = mc.movie_id and t.id = ci.movie_id and t.id = mi.movie_id and t.id = mi_idx.movie_id and t.production_year = 2012 and mc.company_id = 139 and ci.role_id > 10 and mi.info_type_id = 3 and mi_idx.info_type_id = 100;",77.81502519851784,6,2.4659065529704094
7,"select count(*) from title t,cast_info ci,movie_keyword mk,movie_info mi,movie_info_idx mi_idx where t.id=ci.movie_id and t.id=mi.movie_id and t.id=mk.movie_id and t.id=mi_idx.movie_id and t.production_year > 1974 and mi_idx.info_type_id = 100 and t.kind_id < 7 and mi.info_type_id > 46 and ci.role_id = 3;",686298160.6865742,318496002,3.303143195807934
8,"select count(*) from title t,cast_info ci,movie_keyword mk,movie_info mi,movie_info_idx mi_idx where t.id=ci.movie_id and t.id=mi.movie_id and t.id=mk.movie_id and t.id=mi_idx.movie_id and t.production_year > 1974 and mi_idx.info_type_id = 100 and t.kind_id < 7 and mi.info_type_id > 46 and ci.person_id = 139310",203.07943776619882,37,2.2274544462561607
9,"select count(*) from title t,cast_info ci,movie_keyword mk,movie_info mi,movie_info_idx mi_idx where t.id=ci.movie_id and t.id=mi.movie_id and t.id=mk.movie_id and t.id=mi_idx.movie_id and t.production_year < 1974 and mi_idx.info_type_id = 100 and t.kind_id < 7 and mi.info_type_id > 46 and ci.person_id = 139310;",108.65731862104688,136,3.8087666034698486
